,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1214,현대 쏘나타 뉴,201711,144643,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,2,1358788,0,0,11690000,51,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162382&gubun=K
1215,현대 LF쏘나타 2.0,201407,195074,2,1999,0,0,0,1,0,0,1,0,1,0,1,1,6,0,0,0,0,0,0,1,1175430,6990000,27,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161592&gubun=K
1218,현대 YF쏘나타 2.0,200909,142862,2,1998,3,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,4,11072360,2,2819930,3500000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158429&gubun=K
1219,현대 YF쏘나타 2.0,201011,85000,2,1998,2,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,773740,1,428798,5900000,24,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163285&gubun=K
1220,현대 쏘나타 1.6,202010,8675,2,1598,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,26500000,97,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162732&gubun=K
1221,현대 LF쏘나타 2.0,201409,332907,1,1999,3,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4650000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152935&gubun=K
1223,현대 YF쏘나타 ,201210,91040,2,1999,5,0,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,5,5163229,1,411370,6900000,24,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161419&gubun=K
1225,현대 쏘나타 뉴,201705,154292,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,657470,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154650&gubun=K
1226,현대 쏘나타 뉴,201804,153908,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,2396178,0,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155257&gubun=K
1227,현대 쏘나타 뉴,201901,99202,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157036&gubun=K
1228,현대 쏘나타 뉴,201704,140261,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158469&gubun=K
1229,현대 쏘나타 뉴,201705,154190,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158670&gubun=K
1231,현대 쏘나타 뉴,201705,147190,1,1999,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,2,1284577,0,0,10990000,48,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159693&gubun=K
1232,현대 쏘나타 뉴,201705,206047,1,1999,3,0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,11990000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160051&gubun=K
1234,현대 쏘나타 뉴,201711,144643,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,2,1358788,0,0,11690000,51,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162382&gubun=K
1235,현대 LF쏘나타 2.0,201407,195074,2,1999,0,0,0,1,0,0,1,0,1,0,1,1,6,0,0,0,0,0,0,1,1175430,6990000,27,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161592&gubun=K
1238,현대 YF쏘나타 2.0,200909,142862,2,1998,3,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,4,11072360,2,2819930,3500000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158429&gubun=K
1243,현대 쏘나타 ,201905,49000,1,1999,5,0,0,1,1,1,1,1,1,0,1,1,2,0,0,0,0,3,2856205,2,2830693,18300000,74,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2100441&gubun=K
1246,현대 YF쏘나타 2.0,201007,151775,2,1998,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,2312365,2,7036300,2700000,10,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2123096&gubun=K
1247,현대 NF쏘나타 트랜스폼,200804,108317,2,1998,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1110093,1,1045800,3500000,18,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160031&gubun=K
1249,현대 LF쏘나타 1.7,201507,53108,0,1685,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,4806280,1,487240,12800000,46,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163681&gubun=K
1252,현대 YF쏘나타 2.0,201103,139331,2,1998,1,0,0,1,0,0,1,0,1,0,1,1,7,0,0,0,0,5,2665960,1,491520,5000000,21,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2144802&gubun=K
1253,현대 LF쏘나타 2.0,201512,93000,2,1999,0,0,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,1,452213,0,0,11200000,44,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163048&gubun=K
1254,현대 LF쏘나타 2.0,201410,105000,2,1999,1,1,1,1,1,0,1,0,1,0,1,1,2,0,0,0,0,3,1622797,0,0,12100000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163049&gubun=K
1257,현대 NF쏘나타 트랜스폼,200809,107593,2,1998,0,0,0,1,0,0,1,0,1,0,0,1,8,0,0,0,0,3,2780906,4,4306301,3200000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154429&gubun=K
1258,현대 쏘나타 뉴,201811,135995,1,1999,3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,981752,0,0,8600000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161567&gubun=K
1264,현대 쏘나타 2.0,201905,56752,2,1999,5,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,3,6535028,1,971220,18990000,72,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163202&gubun=K
1265,현대 쏘나타 뉴,201811,44190,1,1999,3,0,0,1,0,0,1,0,1,0,1,1,3,0,0,0,0,2,7983420,6,9353430,12990000,57,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163419&gubun=K
1266,현대 쏘나타 2.0,202002,32877,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,5700330,2,7311910,17500000,71,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163692&gubun=K
1268,현대 YF쏘나타 2.0,201003,109660,2,1998,1,1,1,0,1,0,1,0,1,0,0,1,7,0,0,0,0,1,312700,1,400000,2690000,10,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2136184&gubun=K
1270,현대 LF쏘나타 2.0,201506,36447,2,1999,1,0,0,1,1,1,1,0,1,0,0,1,2,0,0,0,0,1,295542,0,0,15500000,60,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152540&gubun=K
1271,현대 LF쏘나타 2.0,201404,75888,2,1999,3,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,1,612918,0,0,13500000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157863&gubun=K
1272,현대 쏘나타 뉴,201804,146583,2,1999,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,2400500,0,0,11500000,50,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162222&gubun=K
1274,현대 쏘나타 뉴,201703,103770,2,1999,2,1,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,7,18207274,1,634520,12500000,45,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2140662&gubun=K
1275,현대 YF쏘나타 2.0,201105,170094,2,1998,0,0,0,1,0,0,1,0,1,0,1,1,3,0,0,0,0,0,0,6,4140710,3990000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2150251&gubun=K
1277,현대 LF쏘나타 2.0,201405,47000,2,1999,1,1,1,0,1,1,1,1,1,0,0,1,7,1,0,0,0,2,23942620,3,8190830,8500000,29,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155313&gubun=K
1279,현대 쏘나타 뉴,201709,56000,2,1591,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,4,7712373,1,684399,12900000,45,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159330&gubun=K
1280,현대 쏘나타 1.6,201911,42527,2,1598,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,3,2091639,0,0,22800000,79,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161247&gubun=K
1281,현대 쏘나타 2.0,201906,88366,1,1999,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,586840,0,0,16800000,78,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163029&gubun=K
1290,현대 쏘나타 뉴,201704,43111,0,1685,4,0,0,1,1,0,1,0,1,0,1,1,4,0,0,0,0,2,4922778,2,2049903,12990000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156376&gubun=K
1291,현대 쏘나타 뉴,201711,86755,1,1999,1,0,0,1,0,0,1,0,1,0,1,1,3,0,0,0,0,1,4395730,0,0,13300000,58,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157369&gubun=K
1293,현대 LF쏘나타 2.0,201504,128808,2,1999,0,0,0,1,0,0,1,0,1,0,1,1,4,0,0,0,0,2,1378968,4,12193599,8990000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159981&gubun=K
1294,현대 쏘나타 뉴,201803,33250,2,1999,4,0,0,1,0,0,1,0,1,0,1,1,2,1,0,0,0,2,750000,3,1288951,12990000,57,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160681&gubun=K
1295,현대 쏘나타 뉴,201712,117139,1,1999,1,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,1,4186381,0,0,8990000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161311&gubun=K
1296,현대 쏘나타 뉴,201801,34543,2,1999,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,8033968,1,1471840,14600000,57,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162557&gubun=K
1297,현대 LF쏘나타 2.0,201501,88803,2,1999,2,0,0,0,1,1,1,1,1,0,1,1,2,0,0,0,0,6,18741168,3,3475340,7800000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162558&gubun=K
1298,현대 LF쏘나타 2.0,201410,93881,2,1999,0,0,0,1,0,0,1,0,1,0,0,1,3,0,0,0,0,1,7473428,0,0,9300000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161997&gubun=K
1309,현대 YF쏘나타 2.0,201010,130000,2,1998,1,0,0,1,0,0,1,0,1,0,0,1,3,0,0,0,0,2,1632724,2,11136330,4200000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160438&gubun=K
1310,현대 YF쏘나타 2.0,201002,119000,2,1998,2,1,1,1,1,0,1,0,1,0,1,1,3,0,0,0,0,5,5379094,7,4980393,4500000,18,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161122&gubun=K
1319,현대 YF쏘나타 2.0,201001,101114,2,1998,0,1,0,1,0,0,1,0,1,0,1,1,7,0,0,0,0,3,4505514,2,1535120,2800000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162475&gubun=K
1321,현대 쏘나타 2.0,201905,47633,2,1999,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1109910,0,0,23500000,89,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152277&gubun=K
1323,현대 쏘나타 1.6,202103,3482,2,1598,4,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1259560,0,0,26200000,88,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155014&gubun=K
1339,현대 제네시스 DH,201602,87127,2,3342,5,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,1227493,0,0,22990000,42,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147855&gubun=K
1340,현대 제네시스 DH,201506,133721,2,3342,1,1,1,1,1,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,22990000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162521&gubun=K
1341,현대 제네시스 DH,201405,209937,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,4,1,0,0,0,10,25687990,6,4051421,10990000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161589&gubun=K
1342,현대 제네시스 DH,201512,138001,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,16990000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162515&gubun=K
1343,현대 제네시스 쿠페,200811,162096,2,1998,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,6,7294210,4,3006120,5400000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163242&gubun=K
1345,현대 제네시스 BH330,200804,158000,2,3342,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,3,1277660,2,1186230,5700000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163374&gubun=K
1346,현대 제네시스 DH,201408,59000,2,3342,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,586870,0,0,23000000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2126210&gubun=K
1347,현대 제네시스 DH,201502,75018,2,3778,4,1,0,1,1,1,1,1,1,1,1,1,4,0,0,0,0,6,14851783,2,10506116,21490000,37,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163702&gubun=K
1349,현대 제네시스 BH380,200909,133570,2,3778,4,1,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,2,697550,1,120000,6900000,14,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160809&gubun=K
1350,현대 제네시스 BH330,200811,139000,2,3342,3,1,0,1,1,0,1,0,1,0,1,1,3,0,0,0,0,3,3964790,0,0,4990000,12,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158678&gubun=K
1353,현대 제네시스 BH380,201006,118726,2,3778,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,7,6674066,2,965488,6500000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163598&gubun=K
1354,현대 제네시스 쿠페,201108,108722,2,1998,2,1,0,1,0,0,1,0,0,0,1,1,6,0,0,0,0,1,405350,1,375400,5490000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153622&gubun=K
1358,현대 제네시스 DH,201401,154770,2,3342,0,1,1,0,1,1,1,0,1,0,1,1,8,0,0,0,0,9,16780752,7,17672100,15500000,29,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162948&gubun=K
1359,현대 제네시스 DH,201602,87127,2,3342,5,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,1227493,0,0,22990000,42,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147855&gubun=K
1360,현대 제네시스 DH,201506,133721,2,3342,1,1,1,1,1,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,22990000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162521&gubun=K
1361,현대 제네시스 DH,201405,209937,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,4,1,0,0,0,10,25687990,6,4051421,10990000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161589&gubun=K
1362,현대 제네시스 DH,201512,138001,2,3342,0,0,0,1,1,1,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,16990000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162515&gubun=K
1363,현대 제네시스 쿠페,200811,162096,2,1998,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,6,7294210,4,3006120,5400000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163242&gubun=K
1365,현대 제네시스 BH330,200804,158000,2,3342,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,3,1277660,2,1186230,5700000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163374&gubun=K
1366,현대 제네시스 DH,201408,59000,2,3342,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,586870,0,0,23000000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2126210&gubun=K
