,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
112,112,현대 아반떼AD 1.6 스마트,차량번호 186저1376,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162547&gubun=K,2015.09 (16년형),"80,000 km",가솔린,"1,591 cc (132마력)",흰색,만료,"1,180만원",66,무,무,유,무,무,유,무,유,무,유,등록,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
113,113,현대 아반떼AD 1.6 프리미엄,차량번호 57마0222,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162548&gubun=K,2015.10 (16년형),"72,000 km",가솔린,"1,591 cc (132마력)",검정색,만료,"1,280만원",60,무,무,유,유,유,유,무,유,무,유,등록,4.0,0.0,0.0,0.0,0.0,1.0,"152,970",3.0,"2,064,649"
114,114,현대 더 뉴 아반떼  1.6 스마트   ,차량번호 20누4136,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160369&gubun=K,2015.03,"131,686 km",가솔린,"1,591 cc (140마력)",흰색 (랩핑),불가,790만원,45,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
115,115,현대 아반떼AD 1.6 GDi 스마트,차량번호 392도8718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149068&gubun=K,2018.04,"27,950 km",가솔린,"1,591 cc (132마력)",청색,"60개월 / 100,000km","1,380만원",75,무,무,유,무,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
116,116,현대 아반떼AD 1.6 터보 오리지널,차량번호 357가5756,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2151478&gubun=K,2017.12 (18년형),"99,500 km",가솔린,"1,591 cc (204마력)",진청색,"60개월 / 100,000km","1,090만원",52,무,무,유,무,무,유,무,유,무,유,등록,1.0,0.0,0.0,0.0,0.0,1.0,"4,728,750",0.0,0
117,117,현대 아반떼AD  1.6 터보 DCT   ,차량번호 174도2434,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163602&gubun=K,2016.06 (17년형),"120,756 km",가솔린,"1,591 cc (204마력)",검정색,불가,"1,430만원",66,유,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
118,118,현대 아반떼HD 1.6 디젤  E16 디럭스,차량번호 10우4865,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161645&gubun=K,2007.01,"104,076 km",디젤,"1,582 cc (117마력)",검정색,만료,299만원,20,,,,,,,,,,,등록,1.0,0.0,0.0,0.0,0.0,7.0,"5,413,551",5.0,"3,202,317"
119,119,현대 아반떼HD 1.6  S16 럭셔리,차량번호 10나5832,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162808&gubun=K,2006.11 (07년형),"126,605 km",가솔린,"1,591 cc (121마력)",검정색,만료,299만원,21,,,,,,,,,,,등록,1.0,0.0,0.0,0.0,0.0,3.0,"2,486,713",4.0,"2,626,680"
120,120,현대 아반떼AD  1.6 e-VGT 스마트 ,차량번호 52모0953,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148464&gubun=K,2016.04,"88,221 km",디젤,"1,582 cc (136마력)",빨간색,만료,"1,120만원",56,유,무,유,무,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,3.0,"2,228,617",3.0,"2,249,251"
121,121,현대 아반떼AD 1.6 모던 스페셜,차량번호 179주9180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160060&gubun=K,2016.01,"58,107 km",가솔린,"1,591 cc (132마력)",흰색,만료,950만원,46,무,무,유,무,무,유,무,유,무,유,등록,5.0,0.0,0.0,0.0,0.0,3.0,"9,810,872",2.0,"7,604,708"
